GeneSym	NA	GeneID
NIPAL4	na	348938
NKX2-6	na	137814
NKX3-2	na	579
NLRC4	na	58484
NLRP1	na	22861
NLRP3	na	114548
NLRP7	na	199713
NME8	na	51314
NMNAT1	na	64802
NNT	na	23530
NOBOX	na	135935
NOD2	na	64127
NODAL	na	4838
NOG	na	9241
NOL3	na	8996
NOTCH2	na	4853
NOTCH3	na	4854
NPC1	na	4864
NPC2	na	10577
NPHP1	na	4867
NPHP4	na	261734
NPHS1	na	4868
NPHS2	na	7827
NPPA-AS1	na	100379251
NPR2	na	4882
NR0B1	na	190
NR2F1	na	7025
NR2F2	na	7026
NR3C1	na	2908
NR3C2	na	4306
NR5A1	na	2516
NRXN1	na	9378
NSD1	na	64324
NSDHL	na	50814
NSUN2	na	54888
NT5C2	na	22978
NT5C3A	na	51251
NT5E	na	4907
NTF4	na	4909
NTRK1	na	4914
NTRK2	na	4915
FOXRED1	na	55572
NDUFS4	na	4724
NDUFS8	na	4728
NDUFAF1	na	51103
NDUFV1	na	4723
NUBPL	na	80224
NDUFAF2	na	91942
NDUFAF4	na	29078
NDUFAF5	na	79133
NDUFB3	na	4709
NDUFS1	na	4719
NDUFS2	na	4720
NDUFS6	na	4726
NDUFA12	na	55967
NDUFS3	na	4722
NDUFS7	na	374291
NDUFA9	na	4704
NDUFAF6	na	137682
NUP155	na	9631
NYX	na	60506
OAT	na	4942
OBSL1	na	23363
HERC2	na	8924
OCA2	na	4948
OCLN	na	100506658
OCRL	na	4952
OFD1	na	8481
OPA1	na	4976
OPA3	na	80207
OPHN1	na	4983
OPLAH	na	26873
OPN1LW	na	5956
OPN1MW	na	2652
OPN1SW	na	611
OPTN	na	10133
OR2J3	na	442186
ORAI1	na	84876
ORC1	na	4998
ORC4	na	5000
ORC6	na	23594
OSMR	na	9180
OSTM1	na	28962
OTC	na	5009
OTOA	na	146183
OTOF	na	9381
OTOG	na	340990
OTOGL	na	283310
OTX2	na	5015
OXCT1	na	5019
P2RX2	na	22953
PACS1	na	55690
PAFAH1B1	na	5048
PAH	na	5053
PAK3	na	5063
PANK2	na	80025
PAPSS2	na	9060
PARK2	na	5071
PARK7	na	11315
PAX1	na	5075
PAX2	na	5076
PAX9	na	5083
PC	na	5091
PCBD1	na	5092
PCCA	na	5095
PCCB	na	5096
PCDH19	na	57526
PCNA	na	5111
PCNT	na	5116
PCSK9	na	255738
PCYT1A	na	5130
PDE11A	na	50940
PDE4D	na	5144
PDE6A	na	5145
PDE6C	na	5146
PDE6D	na	5147
PDE8B	na	8622
PDGFB	na	5155
PDGFRB	na	5159
PDHA1	na	5160
PDHB	na	5162
PDHX	na	8050
PDK3	na	5165
PDP1	na	54704
PDSS1	na	23590
PDSS2	na	57107
PDX1	na	3651
PEPD	na	5184
PER2	na	8864
PEX10	na	5192
PEX12	na	5193
PEX13	na	5194
PEX14	na	5195
PEX16	na	9409
PEX2	na	5828
PEX26	na	55670
PEX5	na	5830
PEX6	na	5190
PEX7	na	5191
PFKM	na	5213
PFN1	na	5216
PGAM2	na	5224
PGAP1	na	80055
PGAP2	na	27315
PGAP3	na	93210
PGK1	na	5230
PGM1	na	5236
PGM3	na	5238
PHC1	na	1911
PHEX	na	5251
PHF6	na	84295
PHF8	na	23133
PHGDH	na	26227
PHKA1	na	5255
PHKA2	na	5256
PHKB	na	5257
PHKG2	na	5261
PHOX2A	na	401
ASCL1	na	429
PHOX2B	na	8929
PHYH	na	5264
PHYKPL	na	85007
PIEZO1	na	9780
PIEZO2	na	63895
PIGA	na	5277
PIGL	na	9487
PIGM	na	93183
PIGN	na	23556
PIGO	na	84720
PIGT	na	51604
PIGV	na	55650
PIGW	na	284098
PIK3CA	na	5290
PIK3CD	na	5293
PIK3R1	na	5295
PIK3R2	na	5296
PIK3R5	na	23533
PIKFYVE	na	200576
PINK1	na	65018
PIP5K1C	na	23396
PITX2	na	5308
PITX3	na	5309
PKD1	na	5310
PKD2	na	5311
PKHD1	na	5314
PKLR	na	5313
PKP1	na	5317
PLA2G2A	na	5320
PLA2G5	na	5322
PLA2G6	na	8398
PLA2G7	na	7941
PLCB4	na	5332
PLCD1	na	5333
PLCE1	na	51196
PLCG2	na	5336
PLEC	na	5339
PLEKHG5	na	57449
PLG	na	5340
KIZ	na	55857
PLK4	na	10733
PLOD1	na	5351
PLOD2	na	5352
PLOD3	na	8985
PMM2	na	5373
PNP	na	4860
PNPLA2	na	57104
PNPLA6	na	10908
PNPO	na	55163
PNPT1	na	87178
POC1A	na	25886
POC1B	na	282809
POF1B	na	79983
POFUT1	na	23509
POGLUT1	na	56983
POLD1	na	5424
POLE	na	5426
POLG	na	5428
POLG2	na	11232
POLH	na	5429
POLR1C	na	9533
POLR1D	na	51082
POLR3A	na	11128
POLR3B	na	55703
POMC	na	5443
POMGNT2	na	84892
POMK	na	84197
COL6A1	na	1291
COL6A2	na	1292
COL6A3	na	1293
ITGA7	na	3679
POMGNT1	na	55624
LAMA2	na	3908
POMT2	na	29954
POMT1	na	10585
POR	na	5447
PORCN	na	64840
POU1F1	na	5449
POU3F4	na	5456
POU4F3	na	5459
PPARG	na	5468
PPOX	na	5498
PPP2R1B	na	5519
PPT1	na	5538
PQBP1	na	10084
PRDM16	na	63976
PRDM5	na	11107
PRICKLE1	na	144165
PRICKLE2	na	166336
PRIMPOL	na	201973
PRKACG	na	5568
DTNBP1	na	84062
PRKAG3	na	53632
PRKAR1A	na	5573
PRKCD	na	5580
PRKCG	na	5582
PRKDC	na	5591
PRKG1	na	5592
PRKRA	na	8575
PRLR	na	5618
PRNP	na	5621
PROC	na	5624
PRODH	na	5625
PROK2	na	60675
HSD17B10	na	3028
PROM1	na	8842
PROP1	na	5626
PROS1	na	5627
PRPF3	na	9129
PRPF31	na	26121
CDC26	na	246184
PRPF4	na	9128
PRPF8	na	10594
PRPS1	na	5631
PRRT2	na	112476
PRRX1	na	5396
PRSS56	na	646960
PMP22	na	5376
PRX	na	57716
PSAP	na	5660
PSAT1	na	29968
PSEN1	na	5663
PSMB8	na	5696
PSPH	na	5723
PSTPIP1	na	9051
PTCH1	na	5727
PTCH2	na	8643
PTDSS1	na	9791
PTF1A	na	256297
CASR	na	846
GCM2	na	9247
PTH	na	5741
PTH1R	na	5745
PTHLH	na	5744
PTS	na	5805
PUF60	na	22827
PUS1	na	80324
PVRL4	na	81607
PXDN	na	7837
PYCR1	na	5831
PYGL	na	5836
PYGM	na	5837
QARS	na	5859
QDPR	na	5860
RAB18	na	22931
RAB23	na	51715
RAB27A	na	5873
RAB28	na	9364
RAB39B	na	116442
RAB3GAP1	na	22930
RAB3GAP2	na	25782
RAC2	na	5880
RAD21	na	5885
PNKP	na	11284
DCLRE1C	na	64421
JAK3	na	3718
RAG1	na	5896
IL7R	na	3575
PTPRC	na	5788
RAI1	na	10743
MUSK	na	4593
RAPSN	na	5913
RARB	na	5915
RARS	na	5917
RARS2	na	57038
RASA1	na	5921
RASGRP2	na	10235
RAX	na	30062
RAX2	na	84839
RB1	na	5925
RBBP8	na	5932
RBCK1	na	10616
RBM10	na	8241
RBM28	na	55131
RBM8A	na	9939
RBP3	na	5949
RBP4	na	5950
RBPJ	na	3516
RD3	na	343035
RDH11	na	51109
RDH12	na	145226
RDX	na	5962
RECQL4	na	9401
REEP2	na	51308
RELN	na	5649
ACE	na	1636
AGT	na	183
AGTR1	na	185
REN	na	5972
POLR2F	na	5435
RET	na	5979
RFT1	na	91869
RFX5	na	5993
RFX6	na	222546
RFXANK	na	8625
RFXAP	na	5994
RGR	na	5995
RGS9	na	8787
RHBDF2	na	79651
RIMS1	na	22999
RIN2	na	54453
RIPK4	na	54101
RLBP1	na	6017
RMND1	na	55005
RNASEH2A	na	10535
RNASEH2B	na	79621
RNASEH2C	na	84153
RNASEL	na	6041
RNASET2	na	8635
RNF135	na	84282
RNF168	na	165918
RNF170	na	81790
RNF216	na	54476
ROBO2	na	6092
ROBO3	na	64221
ROGDI	na	79641
ROR2	na	4920
RP2	na	6102
RPE65	na	6121
RPGRIP1	na	57096
RPIA	na	22934
RPL11	na	6135
RPL26	na	6154
RPS19	na	6223
RPS24	na	6229
RPS26	na	6231
RPS6KA3	na	6197
RPS7	na	6201
RPSA	na	3921
RRM2B	na	50484
RSPH1	na	89765
RSPH4A	na	345895
RSPH9	na	221421
RSPO4	na	343637
RTN2	na	6253
RUNX1	na	861
RUNX2	na	860
INSL3	na	3640
RXFP2	na	122042
SAG	na	6295
SALL1	na	6299
SALL2	na	6297
SALL4	na	57167
SAMD9	na	54809
SAMHD1	na	25939
SAR1B	na	51128
SARDH	na	1757
SARS2	na	54938
SATB2	na	23314
SBDS	na	51119
SBF1	na	6305
SBF2	na	81846
SC5D	na	6309
SCARB2	na	950
SCARF2	na	91179
SCN10A	na	6336
SCN11A	na	11280
SCN1A	na	6323
SCN2A	na	6326
SCN2B	na	6327
SCN3B	na	55800
SCN4B	na	6330
SCN8A	na	6334
SCN9A	na	6335
SCNN1A	na	6337
SCNN1B	na	6338
SCNN1G	na	6340
APOPT1	na	84334
FASTKD2	na	22868
SCO1	na	6341
COX10	na	1352
COX14	na	84987
COX6B1	na	1340
SDCCAG8	na	10806
SDHAF2	na	54949
SDHC	na	6391
SDHD	na	6392
SEC23A	na	10484
SEC23B	na	10483
PRKCSH	na	5589
SEC63	na	11231
SECISBP2	na	79048
SELP	na	6403
CHD7	na	55636
SEMA3E	na	9723
SEMA4A	na	64218
SEMA7A	na	8482
SEPN1	na	57190
SEPSECS	na	51091
SEPT9	na	10801
SERAC1	na	84947
SERPINA6	na	866
SERPINB6	na	5269
SERPINB7	na	8710
SERPINC1	na	462
SERPINE1	na	5054
SERPINF1	na	5176
SERPINF2	na	5345
SERPING1	na	710
SERPINH1	na	871
SERPINI1	na	5274
SETBP1	na	26040
SETD5	na	55209
DNM2	na	1785
DYNC1H1	na	1778
GJB1	na	2705
KIF1B	na	23095
SETX	na	23064
REEP1	na	65055
HSPB1	na	3315
SF3B4	na	10262
SFTPB	na	6439
SFTPC	na	6440
SFXN4	na	119559
SGCA	na	6442
SGCB	na	6443
SGCD	na	6444
DRD2	na	1813
SGCE	na	8910
SGCG	na	6445
GNPTAB	na	79158
SGSH	na	6448
SH2D1A	na	4068
SH3BP2	na	6452
SH3PXD2B	na	285590
SH3TC2	na	79628
SHANK3	na	85358
SHH	na	6469
SHOX	na	6473
SHROOM4	na	57477
SI	na	6476
SIGMAR1	na	10280
SIL1	na	64374
EYA1	na	2138
SIX1	na	6495
SIX5	na	147912
SIX6	na	4990
KIAA1279	na	26128
SKI	na	6497
SLC10A2	na	6555
SLC11A2	na	4891
SLC12A1	na	6557
SLC12A3	na	6559
SLC12A6	na	9990
SLC13A5	na	284111
SLC16A1	na	6566
SLC16A12	na	387700
SLC16A2	na	6567
SLC17A5	na	26503
SLC17A8	na	246213
SLC17A9	na	63910
SLC19A2	na	10560
SLC19A3	na	80704
SLC1A3	na	6507
SLC20A2	na	6575
SLC22A12	na	116085
SLC22A5	na	6584
SLC24A4	na	123041
SLC24A5	na	283652
SLC25A1	na	6576
SLC25A12	na	8604
SLC25A13	na	10165
SLC25A15	na	10166
SLC25A19	na	60386
SLC25A20	na	788
SLC25A22	na	79751
SLC25A3	na	5250
SLC25A38	na	54977
SLC25A4	na	291
SLC26A2	na	1836
SLC26A3	na	1811
FOXI1	na	2299
SLC26A4	na	5172
KCNJ10	na	3766
SLC26A5	na	375611
SLC26A8	na	116369
SLC27A4	na	10999
SLC29A3	na	55315
SLC2A1	na	6513
SLC2A10	na	81031
AKT2	na	208
MAPK8IP1	na	9479
NEUROD1	na	4760
GCGR	na	2642
GPD2	na	2820
IRS1	na	3667
SLC2A2	na	6514
PAX4	na	5078
HNF4A	na	3172
HNF1B	na	6928
INSR	na	3643
SLC2A9	na	56606
SLC30A10	na	55532
SLC30A2	na	7780
SLC33A1	na	9197
SLC34A1	na	6569
SLC34A2	na	10568
SLC34A3	na	142680
SLC35A2	na	7355
SLC35A3	na	23443
SLC35C1	na	55343
SLC35D1	na	23169
G6PC	na	2538
SLC37A4	na	2542
SLC38A8	na	146167
SLC39A13	na	91252
SLC39A4	na	55630
SLC39A5	na	283375
SLC40A1	na	30061
SLC45A2	na	51151
SLC46A1	na	113235
SLC4A1	na	6521
SLC4A11	na	83959
SLC4A4	na	8671
SLC52A2	na	79581
SLC52A3	na	113278
SLC5A1	na	6523
SLC5A2	na	6524
SLC5A5	na	6528
SLC6A19	na	340024
SLC6A2	na	6530
SLC6A3	na	6531
SLC6A5	na	9152
SLC6A8	na	6535
SLC7A14	na	57709
SLC7A7	na	9056
SLC3A1	na	6519
SLC7A9	na	11136
SLC9A3R1	na	9368
SLC9A6	na	10479
SLCO1B1	na	10599
SLCO2A1	na	6578
HDC	na	3067
SLITRK1	na	114798
SLITRK6	na	84189
SLURP1	na	57152
FBN2	na	2201
MBD5	na	55777
SMAD6	na	4091
SMAD9	na	4093
SMARCA2	na	6595
SMARCA4	na	6597
SMARCAL1	na	50485
SMARCB1	na	6598
SMC3	na	9126
SMCHD1	na	23347
IGHMBP2	na	3508
SMN1	na	6606
SMOC1	na	64093
CLN6	na	54982
SMPD1	na	6609
SMPX	na	23676
SMS	na	6611
SNAP29	na	9342
SNCA	na	6622
SNCB	na	6620
SNIP1	na	79753
SNRPE	na	6635
SNTA1	na	6640
SNX10	na	29887
SOBP	na	55084
SOD1	na	6647
SOD3	na	6649
BRAF	na	673
CBL	na	867
MAP2K2	na	5605
NRAS	na	4893
RIT1	na	6016
MAP2K1	na	5604
SOS1	na	6654
KRAS	na	3845
HRAS	na	3265
PTPN11	na	5781
RAF1	na	5894
SOST	na	50964
SOX11	na	6664
SOX17	na	64321
SOX18	na	54345
SOX9	na	6662
SP110	na	3431
KCNT1	na	57582
SPAG1	na	6674
SPAST	na	6683
SPATA16	na	83893
SPATA7	na	55812
SPEG	na	10290
SPG11	na	80208
SPG21	na	51324
SPG7	na	6687
CTRC	na	11330
PRSS1	na	5644
SPINK1	na	6690
SPINK5	na	11005
SPINT2	na	10653
SPR	na	6697
SPRED1	na	161742
SPRY4	na	81848
SPTA1	na	6708
SPTAN1	na	6709
SPTB	na	6710
SPTBN2	na	6712
SPTLC1	na	10558
SPTLC2	na	9517
SQSTM1	na	8878
SRCAP	na	10847
SRD5A2	na	6716
SRD5A3	na	79644
SRP72	na	6731
SRPX2	na	27286
SRY	na	6736
SSR4	na	6748
ST14	na	6768
ST3GAL3	na	6487
ST3GAL5	na	8869
STAC3	na	246329
STAG3	na	10734
STAMBP	na	10617
STAR	na	6770
STAT1	na	6772
STAT3	na	6774
STAT5B	na	6777
STIL	na	6491
STIM1	na	6786
MVK	na	4598
STK4	na	6789
STOX1	na	219736
STRA6	na	64220
STRC	na	161497
STS	na	412
STT3A	na	3703
STT3B	na	201595
STX11	na	8676
STX1B	na	112755
STXBP1	na	6812
STXBP2	na	6813
SUCLA2	na	8803
SUCLG1	na	8802
SUGCT	na	79783
SUMF1	na	285362
SUOX	na	6821
SYN1	na	6853
SYNE1	na	23345
SYNE4	na	163183
SYNGAP1	na	8831
SYNJ1	na	8867
SYP	na	6855
SYT14	na	255928
SYT2	na	127833
SZT2	na	23334
T	na	6862
TAB2	na	23118
HSD11B2	na	3291
COX15	na	1355
SURF1	na	6834
TACO1	na	51204
SCN4A	na	6329
FGFR1	na	2260
HS6ST1	na	9394
PROKR2	na	128674
GNRHR	na	2798
IL17RD	na	54756
SEMA3A	na	10371
TAC3	na	6866
TACR3	na	6870
TACSTD2	na	4070
TAF1	na	6872
TAF2	na	6873
TAF4B	na	6875
KMT2A	na	4297
NIPBL	na	25836
TAF6	na	6878
SMC1A	na	8243
TALDO1	na	6888
TARDBP	na	23435
TARS2	na	80222
TAT	na	6898
TAZ	na	6901
TBC1D20	na	128637
TBC1D24	na	57465
TBC1D7	na	51256
TBCE	na	6905
TBX1	na	6899
TBX19	na	9095
TBX20	na	57057
TBX22	na	50945
TBX3	na	6926
TBX4	na	9496
MYH6	na	4624
NOTCH1	na	4851
TBX5	na	6910
HES7	na	84667
TBX6	na	6911
TCAP	na	8557
TCF12	na	6938
TCF4	na	6925
TCIRG1	na	10312
TCOF1	na	6949
TCTN1	na	79600
TCTN3	na	26123
TDGF1	na	6997
TDP1	na	55775
TECR	na	9524
TECTA	na	7007
TEK	na	7010
TENM3	na	55714
TF	na	7018
TFAP2A	na	7020
TFAP2B	na	7021
TFG	na	10342
TFR2	na	7036
TG	na	7038
TGDS	na	23483
TGFB1	na	7040
TGFB3	na	7043
TGFBI	na	7045
FBP1	na	2203
CYP1B1	na	1545
LTBP2	na	4053
FBN1	na	2200
ELP4	na	26610
PAX6	na	5080
SMAD3	na	4088
TGFB2	na	7042
TGFBR1	na	7046
TGFBR2	na	7048
TGIF1	na	7050
TGM1	na	7051
TGM5	na	9333
TGM6	na	343641
TH	na	7054
THAP1	na	55145
THBD	na	7056
THRA	na	7067
THRB	na	7068
TIMM8A	na	1678
PRF1	na	5551
TERC	na	7012
TINF2	na	26277
TERT	na	7015
SFTPA2	na	729238
BAAT	na	570
TJP2	na	9414
CFH	na	3075
TK2	na	7084
TLL1	na	7092
CCR2	na	729230
CXCL12	na	6387
TLR3	na	7098
CCR5	na	1234
TMC1	na	117531
TMC6	na	11322
TMC8	na	147138
TMCO1	na	54499
TMEM126A	na	84233
TMEM138	na	51524
TMEM165	na	55858
TMEM173	na	340061
TMEM216	na	51259
TMEM231	na	79583
TMEM237	na	65062
TMEM240	na	339453
TMEM5	na	10329
CC2D2A	na	57545
TMEM67	na	91147
RPGRIP1L	na	23322
CEP290	na	80184
CEP41	na	95681
TMEM70	na	54968
TMEM98	na	26022
TMIE	na	259236
TMPRSS15	na	5651
TMPRSS3	na	64699
TMPRSS6	na	164656
TNC	na	3371
TNFRSF11A	na	8792
TNFRSF11B	na	4982
TNFRSF13B	na	23495
TNFRSF1A	na	7132
TNFRSF4	na	7293
TNFSF11	na	8600
DSPP	na	1834
TNPO3	na	23534
COL3A1	na	1281
MYH11	na	4629
TNXB	na	7148
TOR1A	na	1861
BRWD3	na	254065
TP63	na	8626
TPCN2	na	219931
TPI1	na	7167
TPK1	na	27010
SACS	na	26278
TPMT	na	7172
TPO	na	7173
TPP1	na	1200
TPRN	na	286262
TRAPPC11	na	60684
TRAPPC9	na	83696
TRDN	na	10345
TREX1	na	11277
TRHR	na	7201
TRIM2	na	23321
TRIM37	na	4591
TRIOBP	na	11078
TRIP11	na	9321
TRMT10A	na	93587
TRMU	na	55687
TRNT1	na	51095
TRPC6	na	7225
TRPM1	na	4308
TRPM4	na	54795
TRPM6	na	140803
TRPS1	na	7227
TRPV4	na	59341
TSC1	na	7248
TSEN2	na	80746
TSEN54	na	283989
TSHB	na	7252
TSHR	na	7253
TSPAN12	na	23554
TSPAN7	na	7102
TTBK2	na	146057
TTC19	na	54902
TTC21B	na	79809
TTC37	na	9652
TTC7A	na	57217
TTC8	na	123016
TTI2	na	80185
TTLL5	na	23093
TTPA	na	7274
ABCC9	na	10060
ALMS1	na	7840
MYL2	na	4633
MYLK2	na	85366
PRKAG2	na	51422
TPM1	na	7168
TNNC1	na	7134
CSRP3	na	8048
EMD	na	2010
TTR	na	7276
TNNT2	na	7139
TNNI3	na	7137
ACTN2	na	88
MYL3	na	4634
JPH2	na	57158
MYBPC3	na	4607
MYH7	na	4625
DSC2	na	1824
PKP2	na	5318
TMEM43	na	79188
DSP	na	1832
BAG3	na	9531
RBM20	na	282996
LMNA	na	4000
BIN1	na	274
TTN	na	7273
ACTA1	na	58
RYR1	na	6261
ANK2	na	287
KCNJ2	na	3759
KCNE2	na	9992
KCNQ1	na	3784
SCN5A	na	6331
KCNH2	na	3757
CACNA1C	na	775
RYR2	na	6262
SCN1B	na	6324
TUBA1A	na	7846
TUBB	na	203068
TUBB1	na	81027
TUBB2A	na	7280
TUBB2B	na	347733
TUBB3	na	10381
TUBB4A	na	10382
TUBG1	na	7283
TUBGCP6	na	85378
TUSC3	na	7991
TWIST1	na	7291
TYR	na	7299
TREM2	na	54209
TYROBP	na	7305
TYRP1	na	7306
UBE2A	na	7319
UBE3A	na	7337
UBE3B	na	89910
UBIAD1	na	29914
UBQLN2	na	29978
UBR1	na	197131
UCHL1	na	7345
UMOD	na	7369
UMPS	na	7372
UNC119	na	9094
UNC13D	na	201294
UNG	na	7374
UPB1	na	51733
UPF3B	na	65109
UQCC2	na	84300
UQCRC2	na	7385
UROC1	na	131669
UROD	na	7389
UROS	na	7390
USB1	na	79650
USH1C	na	10083
PCDH15	na	65217
USH1G	na	124590
BEST1	na	7439
C2ORF71	na	388939
CNGB1	na	1258
CRX	na	1406
LRAT	na	9227
TOPORS	na	10210
USH2A	na	7399
EYS	na	346007
SNRNP200	na	23020
RP1L1	na	94137
MAK	na	4117
MERTK	na	10461
RP1	na	6101
PRPF6	na	24148
PRCD	na	768206
PDE6B	na	5158
TULP1	na	7287
NRL	na	4901
PRPH2	na	5961
RHO	na	6010
NR2E3	na	10002
IMPG2	na	50939
RPGR	na	6103
MYO7A	na	4647
USP9X	na	8239
UVSSA	na	57654
FUZ	na	80199
VANGL2	na	57216
VANGL1	na	81839
VARS2	na	57176
VCAN	na	1462
VCL	na	7414
VCP	na	7415
VDR	na	7421
VEGFC	na	7424
VIPAS39	na	63894
CYP2C9	na	1559
VKORC1	na	79001
VLDLR	na	7436
VPS13A	na	23230
VPS13B	na	157680
VPS33B	na	26276
VPS35	na	55737
VPS53	na	55275
VRK1	na	7443
VSX2	na	338917
WAS	na	7454
WDPCP	na	51057
WDR19	na	57728
WDR34	na	89891
WDR35	na	57539
WDR36	na	134430
WDR45	na	11152
WDR60	na	55112
WDR62	na	284403
WDR72	na	256764
WDR73	na	84942
WDR81	na	124997
WFS1	na	7466
WISP3	na	8838
FAM134B	na	54463
WNK1	na	65125
KIF1A	na	547
WNK4	na	65266
WNT1	na	7471
WNT10A	na	80326
WNT10B	na	7480
WNT3	na	7473
WNT4	na	54361
WNT5A	na	7474
WNT7A	na	7476
WRAP53	na	55135
WRN	na	7486
WT1	na	7490
WWOX	na	51741
XDH	na	7498
XIAP	na	331
XK	na	7504
XPA	na	7507
XPC	na	7508
XPNPEP3	na	63929
APC	na	324
ATM	na	472
BARD1	na	580
CHEK2	na	11200
FAM175A	na	84142
MAX	na	4149
XRCC2	na	7516
CDKN2A	na	1029
TP53	na	7157
BRIP1	na	83990
RAD51C	na	5889
RAD50	na	10111
BLM	na	641
NBN	na	4683
FANCC	na	2176
MRE11A	na	4361
BMPR1A	na	657
SMAD4	na	4089
STK11	na	6794
MUTYH	na	4595
FLCN	na	201163
CDH1	na	999
BRCA1	na	672
BRCA2	na	675
PALB2	na	79728
SDHB	na	6390
TMEM127	na	55654
VHL	na	7428
NF1	na	4763
MLH1	na	4292
MSH2	na	4436
MSH6	na	2956
PMS2	na	5395
PTEN	na	5728
CCDC127	na	133957
SDHA	na	6389
SDHAF1	na	644096
RAD51	na	5888
GH1	na	2688
XRCC4	na	7518
XYLT1	na	64131
YAP1	na	10413
YARS	na	8565
YARS2	na	51067
CD8A	na	925
ZAP70	na	7535
ZBTB16	na	7704
ZBTB18	na	10472
ZBTB20	na	26137
ZBTB24	na	9841
ZC4H2	na	55906
ZDHHC9	na	51114
ZEB1	na	6935
ZEB2	na	9839
ZFP57	na	346171
GATA6	na	2627
JAG1	na	182
ZFPM2	na	23414
NKX2-5	na	1482
ZFYVE26	na	23503
ZFYVE27	na	118813
ZIC2	na	7546
ZIC3	na	7547
ZMYND10	na	51364
ZMYND11	na	10771
ZMYND15	na	84225
ZNF141	na	7700
ZNF335	na	63925
ZNF423	na	23090
VSX1	na	30813
ZNF469	na	84627
ZNF513	na	130557
ZNF592	na	9640
ZNF644	na	84146
ZNF711	na	7552
ZNF81	na	347344
